Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
0	0	8	3	231	1	128	128	128	128	128	128	128	128	128	128	0	12	
0	1	8	0	199	1	128	128	128	128	128	128	128	128	128	128	0	21	
0	2	8	0	99	1	128	128	128	128	128	128	128	128	128	128	0	9	
0	3	8	0	9	1	128	128	128	128	128	128	128	128	128	128	0	0	
0	4	8	0	1	1	128	128	128	128	128	128	128	128	128	128	0	110	
0	5	8	0	0	1	128	128	128	128	128	128	128	128	128	128	0	0	
0	6	4	0	0	5	128	128	128	128	128	128	128	128	128	128	0	10	
0	7	4	0	0	10	128	128	128	128	128	128	128	128	128	128	0	61	
0	8	2	0	0	25	128	128	128	128	128	128	128	128	128	128	0	5	
0	9	1	0	0	40	128	128	128	128	128	128	128	128	128	128	0	4	
0	16	8	3	231	1	128	128	128	128	128	128	128	128	128	128	0	12	
0	17	8	0	9	1	128	128	128	128	128	128	128	128	128	128	0	0	
0	18	8	0	0	1	128	128	128	128	128	128	128	128	128	128	0	0	
0	19	4	0	0	5	128	128	128	128	128	128	128	128	128	128	0	10	
1	0	8	3	231	1	128	128	128	128	128	128	128	128	128	128	0	10	
1	1	8	0	199	1	128	128	128	128	128	128	128	128	128	128	0	17	
1	2	8	0	99	1	128	128	128	128	128	128	128	128	128	128	0	8	
1	3	8	0	9	1	128	128	128	128	128	128	128	128	128	128	0	0	
1	4	8	0	1	1	128	128	128	128	128	128	128	128	128	128	255	46	
1	5	8	0	0	1	128	128	128	128	128	128	128	128	128	128	0	0	
1	6	4	0	0	5	128	128	128	128	128	128	128	128	128	128	0	4	
1	7	4	0	0	10	128	128	128	128	128	128	128	128	128	128	0	5	
1	8	2	0	0	25	128	128	128	128	128	128	128	128	128	128	0	9	
1	9	1	0	0	40	128	128	128	128	128	128	128	128	128	128	0	7	
1	16	8	3	231	1	128	128	128	128	128	128	128	128	128	128	0	10	
1	17	8	0	9	1	128	128	128	128	128	128	128	128	128	128	0	0	
1	18	8	0	0	1	128	128	128	128	128	128	128	128	128	128	0	0	
1	19	4	0	0	5	128	128	128	128	128	128	128	128	128	128	0	4	
